id;name;price;duration;part_number
1;Замена масла в двигателе (с фильтром);9000;120;SRV-001
2;Замена масла в АКПП;13500;180;SRV-002
3;Замена масла в редукторах;7000;120;SRV-003
4;Замена масла в раздаточной коробке;5000;90;SRV-004
5;Замена антифриза;4000;120;SRV-005
6;Замена тормозной жидкости;3000;60;SRV-006
7;Замена фильтра масляного;2000;30;SRV-007
8;Замена фильтра салонного;2000;30;SRV-008
9;Замена фильтра воздушного;2000;30;SRV-009
10;Замена фильтра топливного;2000;30;SRV-010
11;Замена фильтра адсорбера;1386;60;SRV-011
12;Замена свечей зажигания;3250;90;SRV-012
13;Замена ремня приводного генератора;5000;90;SRV-013
14;Замена ремня ГРМ;17500;300;SRV-014
15;Замена ролика натяжного;6000;90;SRV-015
16;Замена ролика направляющего;6000;90;SRV-016
17;Замена дисков тормозных передних;25000;150;SRV-017
18;Замена дисков тормозных задних;20000;150;SRV-018
19;Замена колодок тормозных передних;10000;90;SRV-019
20;Замена колодок тормозных задних;8500;90;SRV-020
21;Замена фары передней (левой);2500;90;SRV-021
22;Замена фары передней (правой);2500;90;SRV-022
23;Замена стекла лобового;10000;210;SRV-023
24;Замена зеркала заднего вида левого;2500;60;SRV-024
25;Замена зеркала заднего вида правого;2500;60;SRV-025
26;Диагностика ходовой части;3250;90;SRV-026
27;Компьютерная диагностика;4000;90;SRV-027
28;Регулировка рулевого управления (сход-развал);4000;120;SRV-028
29;Замена щеток стеклоочистителя (комплект);1250;30;SRV-029
30;Замена лампы головного света;750;30;SRV-030
