имя;артикул;производитель;цена;закупка;остаток;место;модели
Диск тормозной задний;3502108XPW01A;GWM;5500;0;5;Склад А;Tank 300 (2.0 AT 4WD, 2023-2026)
Диск тормозной передний;3501104XPW01A;GWM;6500;0;4;Склад А;Tank 300 (2.0 AT 4WD, 2023-2026)
Колодки тормозные задние (комплект);3502139XPW01A;GWM;3500;0;10;Склад А;Tank 300 (2.0 AT 4WD, 2023-2026)
Колодки тормозные передние (комплект);3501119XPW01A;GWM;4000;0;8;Склад А;Tank 300 (2.0 AT 4WD, 2023-2026)
Фильтр масляный;1017100XEC01;GWM;800;0;15;Склад Б;Tank 300 (2.0 AT 4WD, 2023-2026)
Фильтр воздушный;1109103XKM01A;GWM;1200;0;10;Склад Б;Tank 300 (2.0 AT 4WD, 2023-2026)
Фильтр салона (пылевой);8104300XKR02A;GWM;1500;0;12;Склад Б;Tank 300 (2.0 AT 4WD, 2023-2026)
Фильтр топливный;1117100XKW09A;GWM;1800;0;6;Склад Б;Tank 300 (2.0 AT 4WD, 2023-2026)
Свеча зажигания;3707100WEC05;GWM;600;0;20;Склад В;Tank 300 (2.0 AT 4WD, 2023-2026)
Прокладка сливной пробки картера;1009305XEC06;GWM;100;0;30;Склад В;Tank 300 (2.0 AT 4WD, 2023-2026)
Пробка сливная картера двигателя;1009304XEC06;GWM;200;0;15;Склад В;Tank 300 (2.0 AT 4WD, 2023-2026)
Щётка лобового стекла левая;5205102XKM01A;GWM;1200;0;4;Склад Г;Tank 300 (2.0 AT 4WD, 2023-2026)
Щётка лобового стекла правая;5205105XPW01B;GWM;1200;0;4;Склад Г;Tank 300 (2.0 AT 4WD, 2023-2026)
Щётка двери багажника;6310105XKM01A;GWM;900;0;3;Склад Г;Tank 300 (2.0 AT 4WD, 2023-2026)
